timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1584217733983,4820,Auth,200,OK,Main thread Group 1-135,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4820,0,68
1584217733959,4872,Auth,200,OK,Main thread Group 1-131,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4872,0,79
1584217733965,4872,Auth,200,OK,Main thread Group 1-132,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4872,0,85
1584217733971,4869,Auth,200,OK,Main thread Group 1-133,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4869,0,90
1584217734013,4854,Auth,200,OK,Main thread Group 1-140,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4854,0,80
1584217733995,4877,Auth,200,OK,Main thread Group 1-137,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4877,0,79
1584217734006,4872,Auth,200,OK,Main thread Group 1-139,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4872,0,78
1584217734001,4925,Auth,200,OK,Main thread Group 1-138,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4925,0,80
1584217734031,4903,Auth,200,OK,Main thread Group 1-143,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4903,0,81
1584217734055,4957,Auth,200,OK,Main thread Group 1-147,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4957,0,68
1584217734043,5071,Auth,200,OK,Main thread Group 1-145,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,5071,0,84
1584217734024,5103,Auth,200,OK,Main thread Group 1-142,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,5103,0,101
1584217734019,5152,Auth,200,OK,Main thread Group 1-141,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,5152,0,90
1584217734048,5205,Auth,200,OK,Main thread Group 1-146,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,5204,0,78
1584217734066,5202,Auth,200,OK,Main thread Group 1-149,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,5202,0,90
